Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Freddie Freeman,Freddie Freeman 2023,29,2023,33,0.033,0.048,LAD,NL,161,730,637,131,211,121,59,2,29,102,LAD,LAD 2023,81,98,28.8
Avisaíl García,Avisaíl García 2021,29,2021,30,0.000,0.053,MIL,NL,135,515,461,68,121,74,18,0,29,86,MIL,MIL 2021,99,97,29.5
José Ramírez,José Ramírez 2022,29,2022,29,0.102,0.120,CLE,AL,157,685,601,90,168,90,44,5,29,126,CLE,CLE 2022,92,100,27.6
Hunter Renfroe,Hunter Renfroe 2022,29,2022,30,0.042,0.080,MIL,NL,125,522,474,62,121,68,23,1,29,72,MIL,MIL 2022,99,97,27.5
Marcus Semien,Marcus Semien 2023,29,2023,32,0.091,0.111,TEX,AL,162,753,670,122,185,112,40,4,29,100,TEX,TEX 2023,93,102,25.7
Juan Soto,Juan Soto 2021,29,2021,22,0.091,0.130,WSN,NL,151,654,502,111,157,106,20,2,29,95,WSN,WSN 2021,95,102,26
Kyle Tucker,Kyle Tucker 2023,29,2023,26,0.119,0.140,HOU,AL,157,674,574,97,163,92,37,5,29,112,HOU,HOU 2023,106,98,28.4
Jared Walsh,Jared Walsh 2021,29,2021,27,0.029,0.056,LAA,AL,144,585,530,70,147,83,34,1,29,98,LAA,LAA 2021,99,98,28.4
Jose Altuve,Jose Altuve 2022,28,2022,32,0.000,0.025,HOU,AL,141,604,527,103,158,91,39,0,28,57,HOU,HOU 2022,106,98,27.6
C.J. Cron,C.J. Cron 2021,28,2021,31,0.031,0.061,COL,NL,142,547,470,70,132,72,31,1,28,92,COL,COL 2021,138,112,28
Brandon Drury,Brandon Drury 2022,28,2022,29,0.061,0.088,"CIN,SDP",NL,138,568,518,87,136,75,31,2,28,87,CIN,CIN 2022,83,100,24.7
Eduardo Escobar,Eduardo Escobar 2021,28,2021,32,0.161,0.188,"ARI,MIL",NL,146,599,549,77,139,80,26,5,28,90,ARI,ARI 2021,118,104,25.6
Gunnar Henderson,Gunnar Henderson 2023,28,2023,22,0.237,0.256,BAL,AL,150,622,560,100,143,77,29,9,28,82,BAL,BAL 2023,95,94,27.2
Manny Machado,Manny Machado 2021,28,2021,28,0.061,0.088,SDP,NL,153,640,564,92,157,96,31,2,28,106,SDP,SDP 2021,82,96,27.2
J.D. Martinez,J.D. Martinez 2021,28,2021,33,0.067,0.087,BOS,AL,148,634,570,92,163,90,42,3,28,99,BOS,BOS 2021,120,112,27.4
Julio Rodríguez,Julio Rodríguez 2022,28,2022,21,0.107,0.138,SEA,AL,132,560,511,84,145,89,25,3,28,75,SEA,SEA 2022,78,93,27.8
Anthony Santander,Anthony Santander 2023,28,2023,28,0.024,0.047,BAL,AL,153,656,591,81,152,82,41,1,28,95,BAL,BAL 2023,95,94,28.8
Lane Thomas,Lane Thomas 2023,28,2023,27,0.077,0.100,WSN,NL,156,682,628,101,168,101,36,3,28,86,WSN,WSN 2023,95,102,25.9
Trea Turner,Trea Turner 2021,28,2021,28,0.081,0.105,"LAD,WSN",NL,148,646,595,107,195,130,34,3,28,77,LAD,LAD 2021,81,98,26.7
Josh Bell,Josh Bell 2021,27,2021,28,0.040,0.077,WSN,NL,144,568,498,75,130,78,24,1,27,88,WSN,WSN 2021,95,102,28.5
Matt Chapman,Matt Chapman 2021,27,2021,28,0.167,0.211,OAK,AL,151,622,529,75,111,66,15,3,27,72,OAK,OAK 2021,99,101,26.6
Matt Chapman,Matt Chapman 2022,27,2022,29,0.036,0.069,TOR,AL,155,621,538,83,123,68,27,1,27,76,TOR,TOR 2022,93,100,28.4
Rafael Devers,Rafael Devers 2022,27,2022,25,0.023,0.045,BOS,AL,141,614,555,84,164,94,42,1,27,88,BOS,BOS 2022,120,112,25
Adolis García,Adolis García 2022,27,2022,29,0.128,0.150,TEX,AL,156,657,605,88,151,85,34,5,27,101,TEX,TEX 2022,93,102,27.5
