Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Tommy Edman,Tommy Edman 2021,11,2021,26,0.068,0.089,STL,NL,159,691,641,91,168,113,41,3,11,56,STL,STL 2021,92,96,27.4
Enrique Hernández,Enrique Hernández 2023,11,2023,31,0.000,0.042,"BOS,LAD","AL,NL",140,508,465,57,110,76,23,0,11,61,BOS,BOS 2023,120,112,26.9
Ha-Seong Kim,Ha-Seong Kim 2022,11,2022,26,0.094,0.121,SDP,NL,150,582,517,58,130,87,29,3,11,59,SDP,SDP 2022,82,96,27.8
Whit Merrifield,Whit Merrifield 2022,11,2022,33,0.034,0.067,"KCR,TOR",AL,139,550,504,70,126,86,28,1,11,58,KCR,KCR 2022,110,108,25.3
Whit Merrifield,Whit Merrifield 2023,11,2023,34,0.000,0.036,TOR,AL,145,592,547,66,149,111,27,0,11,67,TOR,TOR 2023,93,100,25.1
Josh Rojas,Josh Rojas 2021,11,2021,27,0.086,0.111,ARI,NL,139,550,484,69,128,82,32,3,11,44,ARI,ARI 2021,118,104,28.4
Amed Rosario,Amed Rosario 2021,11,2021,25,0.194,0.219,CLE,AL,141,588,550,77,155,113,25,6,11,57,CLE,CLE 2021,92,100,25.7
Amed Rosario,Amed Rosario 2022,11,2022,26,0.257,0.278,CLE,AL,153,670,637,86,180,134,26,9,11,71,CLE,CLE 2022,92,100,23.5
Jonathan Schoop,Jonathan Schoop 2022,11,2022,30,0.042,0.080,DET,AL,131,510,481,48,97,62,23,1,11,38,DET,DET 2022,139,100,26.6
Pavin Smith,Pavin Smith 2021,11,2021,25,0.129,0.156,ARI,NL,145,545,498,68,133,91,27,4,11,49,ARI,ARI 2021,118,104,
Nick Solak,Nick Solak 2021,11,2021,26,0.100,0.143,TEX,AL,127,511,458,57,111,80,18,2,11,49,TEX,TEX 2021,93,102,
Alex Verdugo,Alex Verdugo 2022,11,2022,26,0.025,0.049,BOS,AL,152,644,593,75,166,115,39,1,11,74,BOS,BOS 2022,120,112,
Luis Arraez,Luis Arraez 2023,10,2023,26,0.091,0.118,MIA,NL,147,617,574,71,203,160,30,3,10,69,MIA,MIA 2023,111,101,29.2
Jake Cronenworth,Jake Cronenworth 2023,10,2023,29,0.226,0.250,SDP,NL,127,522,458,54,105,64,24,7,10,48,SDP,SDP 2023,82,96,27.9
Nelson Cruz,Nelson Cruz 2022,10,2022,41,0.000,0.059,WSN,NL,124,507,448,50,105,79,16,0,10,64,WSN,WSN 2022,95,102,25.6
Nico Hoerner,Nico Hoerner 2022,10,2022,25,0.185,0.214,CHC,NL,135,517,481,60,135,98,22,5,10,55,CHC,CHC 2022,113,97,24.1
DJ LeMahieu,DJ LeMahieu 2021,10,2021,32,0.040,0.077,NYY,AL,150,679,597,84,160,125,24,1,10,57,NYY,NYY 2021,85,94,28.5
Jeff McNeil,Jeff McNeil 2023,10,2023,31,0.138,0.167,NYM,NL,156,648,585,75,158,119,25,4,10,55,NYM,NYM 2023,82,94,25.3
Whit Merrifield,Whit Merrifield 2021,10,2021,32,0.067,0.087,KCR,AL,162,720,664,97,184,129,42,3,10,74,KCR,KCR 2021,110,108,26.8
Jeremy Peña,Jeremy Peña 2023,10,2023,25,0.086,0.111,HOU,AL,150,634,577,81,152,107,32,3,10,52,HOU,HOU 2023,106,98,27.3
Matt Vierling,Matt Vierling 2023,10,2023,26,0.192,0.222,DET,AL,134,530,479,63,125,89,21,5,10,44,DET,DET 2023,139,100,
Javier Báez,Javier Báez 2023,9,2023,30,0.182,0.217,DET,AL,136,547,510,58,113,82,18,4,9,59,DET,DET 2023,139,100,27
J.P. Crawford,J.P. Crawford 2021,9,2021,26,0.000,0.026,SEA,AL,160,687,619,89,169,123,37,0,9,54,SEA,SEA 2021,78,93,27.1
Yandy Díaz,Yandy Díaz 2022,9,2022,30,0.000,0.029,TBR,AL,137,558,473,71,140,98,33,0,9,57,TBR,TBR 2022,99,99,26.3
Nico Hoerner,Nico Hoerner 2023,9,2023,26,0.129,0.156,CHC,NL,150,688,619,98,175,135,27,4,9,68,CHC,CHC 2023,113,97,25.7
José Iglesias,José Iglesias 2021,9,2021,31,0.069,0.100,"BOS,LAA",AL,137,511,483,65,131,93,27,2,9,48,BOS,BOS 2021,120,112,28.2
Zach McKinstry,Zach McKinstry 2023,9,2023,28,0.160,0.192,DET,AL,148,518,464,60,107,73,21,4,9,35,DET,DET 2023,139,100,25.1
Jeff McNeil,Jeff McNeil 2022,9,2022,30,0.025,0.049,NYM,NL,148,589,533,73,174,125,39,1,9,62,NYM,NYM 2022,82,94,25.3
Jurickson Profar,Jurickson Profar 2023,9,2023,30,0.069,0.100,"COL,SDP",NL,125,521,459,55,111,73,27,2,9,46,COL,COL 2023,138,112,26.2
Miguel Rojas,Miguel Rojas 2021,9,2021,32,0.091,0.118,MIA,NL,132,539,495,66,131,89,30,3,9,48,MIA,MIA 2021,111,101,27.7
Josh Rojas,Josh Rojas 2022,9,2022,28,0.038,0.074,ARI,NL,125,510,443,66,119,84,25,1,9,56,ARI,ARI 2022,118,104,27.6
Gleyber Torres,Gleyber Torres 2021,9,2021,24,0.000,0.043,NYY,AL,127,516,459,50,119,88,22,0,9,51,NYY,NYY 2021,85,94,
Luis Arraez,Luis Arraez 2022,8,2022,25,0.031,0.061,MIN,AL,144,603,547,88,173,133,31,1,8,49,MIN,MIN 2022,97,105,29.1
Michael Brantley,Michael Brantley 2021,8,2021,34,0.094,0.121,HOU,AL,121,508,469,68,146,106,29,3,8,47,HOU,HOU 2021,106,98,28.6
Yuli Gurriel,Yuli Gurriel 2022,8,2022,38,0.000,0.024,HOU,AL,146,584,545,53,132,84,40,0,8,53,HOU,HOU 2022,106,98,28.3
Josh Harrison,Josh Harrison 2021,8,2021,33,0.057,0.083,"OAK,WSN","AL,NL",138,558,505,58,141,98,33,2,8,60,OAK,OAK 2021,99,101,28.5
Isiah Kiner-Falefa,Isiah Kiner-Falefa 2021,8,2021,26,0.107,0.138,TEX,AL,158,677,635,74,172,136,25,3,8,53,TEX,TEX 2021,93,102,25.1
David Peralta,David Peralta 2021,8,2021,33,0.211,0.231,ARI,NL,150,538,487,57,126,80,30,8,8,63,ARI,ARI 2021,118,104,26.7
Ke'Bryan Hayes,Ke'Bryan Hayes 2022,7,2022,25,0.111,0.143,PIT,NL,136,560,505,55,123,89,24,3,7,41,PIT,PIT 2022,101,106,28.3
Tony Kemp,Tony Kemp 2022,7,2022,30,0.077,0.111,OAK,AL,147,558,497,61,117,84,24,2,7,46,OAK,OAK 2022,99,101,29.4
J.P. Crawford,J.P. Crawford 2022,6,2022,27,0.111,0.143,SEA,AL,145,603,518,57,126,93,24,3,6,42,SEA,SEA 2022,78,93,28.9
Steven Kwan,Steven Kwan 2022,6,2022,24,0.219,0.242,CLE,AL,147,638,563,89,168,130,25,7,6,52,CLE,CLE 2022,92,100,28.2
Miguel Rojas,Miguel Rojas 2022,6,2022,33,0.095,0.136,MIA,NL,140,507,471,34,111,84,19,2,6,36,MIA,MIA 2022,111,101,28.1
Amed Rosario,Amed Rosario 2023,6,2023,27,0.242,0.265,"CLE,LAD","AL,NL",142,545,510,70,134,95,25,8,6,58,CLE,CLE 2023,92,100,26.8
Raimel Tapia,Raimel Tapia 2021,6,2021,27,0.071,0.103,COL,NL,133,533,487,69,133,99,26,2,6,50,COL,COL 2021,138,112,
Andrew Benintendi,Andrew Benintendi 2022,5,2022,27,0.115,0.148,"KCR,NYY",AL,126,521,461,54,140,109,23,3,5,51,KCR,KCR 2022,110,108,25.4
Andrew Benintendi,Andrew Benintendi 2023,5,2023,28,0.056,0.081,CHW,AL,151,621,562,72,147,106,34,2,5,45,CHW,CHW 2023,79,94,27.2
Adam Frazier,Adam Frazier 2021,5,2021,29,0.122,0.143,"PIT,SDP",NL,155,639,577,83,176,130,36,5,5,43,PIT,PIT 2021,101,106,26.6
Steven Kwan,Steven Kwan 2023,5,2023,25,0.163,0.182,CLE,AL,158,718,638,93,171,123,36,7,5,54,CLE,CLE 2023,92,100,25.4
Kevin Newman,Kevin Newman 2021,5,2021,27,0.120,0.154,PIT,NL,148,554,517,50,117,87,22,3,5,39,PIT,PIT 2021,101,106,28.1
Maikel Garcia,Maikel Garcia 2023,4,2023,23,0.167,0.200,KCR,AL,123,515,464,59,126,98,20,4,4,50,KCR,KCR 2023,110,108,28.6
Isiah Kiner-Falefa,Isiah Kiner-Falefa 2022,4,2022,27,0.000,0.048,NYY,AL,142,531,483,66,126,102,20,0,4,48,NYY,NYY 2022,85,94,28.5
Myles Straw,Myles Straw 2021,4,2021,26,0.033,0.065,"CLE,HOU",AL,158,638,564,86,153,119,29,1,4,48,CLE,CLE 2021,92,100,
Elvis Andrus,Elvis Andrus 2021,3,2021,32,0.074,0.107,OAK,AL,146,541,497,60,121,91,25,2,3,37,OAK,OAK 2021,99,101,27
Adam Frazier,Adam Frazier 2022,3,2022,30,0.154,0.185,SEA,AL,156,602,541,61,129,100,22,4,3,42,SEA,SEA 2022,78,93,28.3
David Fletcher,David Fletcher 2021,2,2021,27,0.100,0.129,LAA,AL,157,665,626,74,164,132,27,3,2,47,LAA,LAA 2021,99,98,27.6
Nicky Lopez,Nicky Lopez 2021,2,2021,26,0.222,0.250,KCR,AL,151,565,497,78,149,120,21,6,2,43,KCR,KCR 2021,110,108,27.3
Tim Anderson,Tim Anderson 2023,1,2023,30,0.100,0.143,CHW,AL,123,524,493,52,121,100,18,2,1,25,CHW,CHW 2023,79,94,27.6
César Hernández,César Hernández 2022,1,2022,32,0.125,0.152,WSN,NL,147,617,560,64,139,106,28,4,1,34,WSN,WSN 2022,95,102,28
Myles Straw,Myles Straw 2023,1,2023,28,0.143,0.182,CLE,AL,147,518,462,52,110,88,18,3,1,29,CLE,CLE 2023,92,100,
Myles Straw,Myles Straw 2022,0,2022,27,0.120,0.154,CLE,AL,152,596,535,72,118,93,22,3,0,32,CLE,CLE 2022,92,100,
