pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,9/22/19,90.3,-2.26,5.7,"Darvish, Yu",572761,506433,,swinging_strike,,,,,2,Matt Carpenter singles on a line drive to right fielder Nicholas Castellanos.,R,L,R,CHC,STL,S,,,1,1,2019,0.39,0.58,-0.06,3.13,,,,1,8,Top,,,,,605170,,,4.658650208,-131.5860245,-1.737943321,3.623764392,23.80145665,-25.36900169,3.53,1.75,,,,90.3,2636,5.9,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.6,,,,,,,,50,3,Cutter,2,1,1,2,1,2,1,2,Infield shift,Standard,146,0,-0.044
FF,9/22/19,93,-2.11,5.79,"Darvish, Yu",572761,506433,,ball,,,,,13,Matt Carpenter singles on a line drive to right fielder Nicholas Castellanos.,R,L,R,CHC,STL,B,,,0,1,2019,-0.3,1.42,-1.05,2.74,,,,1,8,Top,,,,,605170,,,3.378697277,-135.4913262,-5.225783515,-4.400153911,27.04215874,-13.77508235,3.64,1.87,,,,93.6,2514,6.4,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.13,,,,,,,,50,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard,192,0,0.022
SL,9/22/19,77.9,-2.22,5.63,"Darvish, Yu",572761,506433,,called_strike,,,,,2,Matt Carpenter singles on a line drive to right fielder Nicholas Castellanos.,R,L,R,CHC,STL,S,,,0,0,2019,1.72,-0.18,-0.06,3.36,,,,1,8,Top,,,,,605170,,,1.534806949,-113.2706514,2.344579659,14.19242859,21.30010229,-34.37284482,3.55,1.75,,,,77,2568,5.8,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.74,,,,,,,,50,1,Slider,2,1,1,2,1,2,1,2,Infield shift,Standard,84,0,-0.03
FC,9/22/19,86.4,-2.13,5.79,"Darvish, Yu",425877,506433,field_out,hit_into_play,,,,,9,"Yadier Molina grounds out, shortstop Nico Hoerner to first baseman Anthony Rizzo.",R,R,R,CHC,STL,X,6,ground_ball,0,1,2019,0.54,-0.14,0.67,2.15,,,,0,8,Top,110.09,141.86,,,605170,,,5.556784363,-125.8861153,-2.27358711,4.819478379,21.80073389,-33.49800846,3.53,1.75,56,98.5,1,86.8,2658,6.1,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.37,0.473,0.464,0,1,0,0,4,49,2,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,75,0.054,-0.208
FC,9/22/19,82.9,-2.08,5.84,"Darvish, Yu",425877,506433,,foul,,,,,12,"Yadier Molina grounds out, shortstop Nico Hoerner to first baseman Anthony Rizzo.",R,R,R,CHC,STL,S,,,0,0,2019,0.56,-0.28,0.06,3.92,,,,0,8,Top,,,,,605170,,,3.779193525,-120.74599,2.456362301,4.807631701,19.24117547,-35.51764203,3.35,1.59,,,,82.5,2622,5.6,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.94,,,,,,,,49,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,63,0,-0.039
KC,9/22/19,81.2,-2,5.65,"Darvish, Yu",542303,506433,grounded_into_double_play,hit_into_play,,,,,14,"Marcell Ozuna grounds into a double play, pitcher Yu Darvish to second baseman Ben Zobrist to first baseman Anthony Rizzo.   Tommy Edman out at 2nd.    Marcell Ozuna out at 1st.",R,R,R,CHC,STL,X,1,ground_ball,1,2,2019,1.05,-1.19,1.34,1.43,,,669242,1,7,Top,125.36,180.31,,,605170,,,5.485676552,-118.1182573,-0.495583253,8.614168731,24.21323602,-43.40257542,3.39,1.64,,82.9,-21,81,2904,6.4,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.14,0.073,0.066,0,1,0,0,2,45,4,Knuckle Curve,2,1,1,2,1,2,1,2,Standard,Standard,41,0.1,-0.286
FC,9/22/19,86.6,-2.19,5.67,"Darvish, Yu",542303,506433,,foul,,,,,6,"Marcell Ozuna grounds into a double play, pitcher Yu Darvish to second baseman Ben Zobrist to first baseman Anthony Rizzo.   Tommy Edman out at 2nd.    Marcell Ozuna out at 1st.",R,R,R,CHC,STL,S,,,1,1,2019,0.71,-0.16,0.82,2.46,,,669242,1,7,Top,,,,,605170,,,5.713833618,-126.0641647,-1.232438435,6.596128838,21.05546202,-33.88551288,3.39,1.64,,,,86.5,,5.8,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.66,,,,,,,,45,3,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,77,0,-0.077
FS,9/22/19,90,-2.03,5.72,"Darvish, Yu",542303,506433,,blocked_ball,,,,,14,"Marcell Ozuna grounds into a double play, pitcher Yu Darvish to second baseman Ben Zobrist to first baseman Anthony Rizzo.   Tommy Edman out at 2nd.    Marcell Ozuna out at 1st.",R,R,R,CHC,STL,B,,,0,1,2019,-0.49,0.9,0.84,0.56,,,669242,1,7,Top,,,,,605170,,,8.136462575,-130.7640823,-8.768120903,-7.132064825,23.56709495,-20.37569726,3.27,1.62,,,,90.3,1652,6.2,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.27,,,,,,,,45,2,Split-Finger,2,1,1,2,1,2,1,2,Standard,Standard,209,0,0.037
FC,9/22/19,86.5,-2.02,5.68,"Darvish, Yu",542303,506433,,called_strike,,,,,9,"Marcell Ozuna grounds into a double play, pitcher Yu Darvish to second baseman Ben Zobrist to first baseman Anthony Rizzo.   Tommy Edman out at 2nd.    Marcell Ozuna out at 1st.",R,R,R,CHC,STL,S,,,0,0,2019,0.46,-0.14,0.82,1.68,,,669242,1,7,Top,,,,,605170,,,5.81374927,-125.9166173,-3.111458176,3.872611848,21.80153911,-33.3131841,3.16,1.46,,,,86.4,,5.9,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.59,,,,,,,,45,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,73,0,-0.055
FF,9/22/19,96.1,-1.88,5.8,"Darvish, Yu",502671,506433,strikeout,swinging_strike,,,,,2,Paul Goldschmidt strikes out swinging.,R,R,R,CHC,STL,S,2,,0,2,2019,-0.57,1.36,-0.02,3.18,,,669242,0,7,Top,,,,,605170,,,6.281111487,-140.0123459,-4.550581099,-8.882178915,28.06947055,-13.28459387,3.46,1.66,,,,97.1,2595,6.5,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,53.96,,,0,1,0,0,,44,4,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,203,0.065,-0.241
